Dimension-1 Parameter,Dimension-1 Value,Coherence_NG3_L4_SS_L4_Sum_accuracy,GrCaus_NG3_L4_SS_L4_Information_accuracy,NormError_SimErr_accuracy,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_accuracy,Coherence_NG3_L4_SS_L4_Sum_p,GrCaus_NG3_L4_SS_L4_Information_p,NormError_SimErr_p,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_p,Coherence_NG3_L4_SS_L4_Sum_conf_min,GrCaus_NG3_L4_SS_L4_Information_conf_min,NormError_SimErr_conf_min,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_min,Coherence_NG3_L4_SS_L4_Sum_conf_max,GrCaus_NG3_L4_SS_L4_Information_conf_max,NormError_SimErr_conf_max,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_max
delay_CI_CI,18.25,0.9,0.966666666667,0.5,0.766666666667,0.0,0.0,0.019,0.0,0.735,0.828,0.313,0.577,0.979,0.999,0.687,0.901
delay_CI_CI,18.5,0.9,0.933333333333,0.5,0.8,0.0,0.0,0.019,0.0,0.735,0.779,0.313,0.614,0.979,0.992,0.687,0.923
delay_CI_CI,18.75,0.866666666667,0.933333333333,0.5,0.766666666667,0.0,0.0,0.019,0.0,0.693,0.779,0.313,0.577,0.962,0.992,0.687,0.901
delay_CI_CI,19.0,0.9,0.966666666667,0.5,0.833333333333,0.0,0.0,0.019,0.0,0.735,0.828,0.313,0.653,0.979,0.999,0.687,0.944
delay_CI_CI,19.25,0.866666666667,0.933333333333,0.5,0.866666666667,0.0,0.0,0.019,0.0,0.693,0.779,0.313,0.693,0.962,0.992,0.687,0.962
delay_CI_CI,19.5,0.9,0.933333333333,0.5,0.8,0.0,0.0,0.019,0.0,0.735,0.779,0.313,0.614,0.979,0.992,0.687,0.923
delay_CI_CI,19.75,0.9,0.966666666667,0.5,0.8,0.0,0.0,0.019,0.0,0.735,0.828,0.313,0.614,0.979,0.999,0.687,0.923
delay_CI_CI,20.0,0.9,0.966666666667,0.5,0.8,0.0,0.0,0.019,0.0,0.735,0.828,0.313,0.614,0.979,0.999,0.687,0.923
delay_CI_CI,20.25,0.933333333333,0.966666666667,0.5,0.8,0.0,0.0,0.019,0.0,0.779,0.828,0.313,0.614,0.992,0.999,0.687,0.923
delay_CI_CI,20.5,0.9,0.966666666667,0.5,0.766666666667,0.0,0.0,0.019,0.0,0.735,0.828,0.313,0.577,0.979,0.999,0.687,0.901
delay_CI_CI,20.75,0.933333333333,0.966666666667,0.5,0.8,0.0,0.0,0.019,0.0,0.779,0.828,0.313,0.614,0.992,0.999,0.687,0.923
delay_CI_CI,21.0,0.933333333333,0.966666666667,0.5,0.733333333333,0.0,0.0,0.019,0.0,0.779,0.828,0.313,0.541,0.992,0.999,0.687,0.877
delay_CI_CI,21.25,0.933333333333,0.966666666667,0.5,0.766666666667,0.0,0.0,0.019,0.0,0.779,0.828,0.313,0.577,0.992,0.999,0.687,0.901
delay_CI_CI,21.5,0.933333333333,0.966666666667,0.5,0.866666666667,0.0,0.0,0.019,0.0,0.779,0.828,0.313,0.693,0.992,0.999,0.687,0.962
delay_CI_CI,21.75,0.933333333333,0.966666666667,0.5,0.8,0.0,0.0,0.019,0.0,0.779,0.828,0.313,0.614,0.992,0.999,0.687,0.923
delay_CI_CI,22.0,0.933333333333,0.933333333333,0.466666666667,0.733333333333,0.0,0.0,0.043,0.0,0.779,0.779,0.283,0.541,0.992,0.992,0.657,0.877
delay_CI_CI,22.25,0.933333333333,0.966666666667,0.466666666667,0.766666666667,0.0,0.0,0.043,0.0,0.779,0.828,0.283,0.577,0.992,0.999,0.657,0.901
delay_CI_CI,22.5,0.933333333333,0.966666666667,0.466666666667,0.766666666667,0.0,0.0,0.043,0.0,0.779,0.828,0.283,0.577,0.992,0.999,0.657,0.901
delay_CI_CI,22.75,0.933333333333,0.966666666667,0.466666666667,0.733333333333,0.0,0.0,0.043,0.0,0.779,0.828,0.283,0.541,0.992,0.999,0.657,0.877
delay_CI_CI,23.0,0.933333333333,0.966666666667,0.466666666667,0.766666666667,0.0,0.0,0.043,0.0,0.779,0.828,0.283,0.577,0.992,0.999,0.657,0.901
delay_CI_CI,23.25,0.9,0.966666666667,0.5,0.766666666667,0.0,0.0,0.019,0.0,0.735,0.828,0.313,0.577,0.979,0.999,0.687,0.901
delay_CI_CI,23.5,0.9,0.966666666667,0.466666666667,0.766666666667,0.0,0.0,0.043,0.0,0.735,0.828,0.283,0.577,0.979,0.999,0.657,0.901
delay_CI_CI,23.75,0.9,0.966666666667,0.466666666667,0.766666666667,0.0,0.0,0.043,0.0,0.735,0.828,0.283,0.577,0.979,0.999,0.657,0.901
delay_CI_CI,24.0,0.933333333333,0.966666666667,0.5,0.733333333333,0.0,0.0,0.019,0.0,0.779,0.828,0.313,0.541,0.992,0.999,0.687,0.877
delay_CI_CI,24.25,0.933333333333,0.966666666667,0.466666666667,0.666666666667,0.0,0.0,0.043,0.0,0.779,0.828,0.283,0.472,0.992,0.999,0.657,0.827
delay_CI_CI,24.5,0.933333333333,0.933333333333,0.466666666667,0.666666666667,0.0,0.0,0.043,0.0,0.779,0.779,0.283,0.472,0.992,0.992,0.657,0.827
delay_CI_CI,24.75,0.9,0.933333333333,0.5,0.7,0.0,0.0,0.019,0.0,0.735,0.779,0.313,0.506,0.979,0.992,0.687,0.853
